region,location,name,pop_active_duty,pop_active_duty_fam,pop_civilian,pop_contract,pop_retired,pop_retired_fam,pop_resrv_ntgrd
CONUS,Alabama,Anniston Army Depot,NA,NA,NA,NA,NA,NA,NA
CONUS,Alabama,Fort Rucker,5009,5097,10104,NA,NA,NA,NA
CONUS,Alabama,Maxwell AFB and Gunter Annex,NA,NA,NA,NA,NA,NA,NA
CONUS,Alabama,Redstone Arsenal,850,NA,35500,NA,15000,NA,NA
CONUS,Alabama,"USAREC, 2nd Medical Recruiting Battalion",NA,NA,NA,NA,NA,NA,NA
CONUS,Alabama,"USAREC, Montgomery Battalion",NA,NA,NA,NA,NA,NA,NA
CONUS,Arizona,Davis-Monthan AFB,NA,NA,NA,NA,NA,NA,NA
CONUS,Arizona,Fort Huachuca,5600,11000,11000,NA,NA,NA,NA
CONUS,Arizona,Luke AFB,4800,6700,800,NA,65000,NA,1700
CONUS,Arizona,MCAS Yuma,6592,5531,5000,NA,NA,NA,NA
CONUS,Arizona,"USAREC, Phoenix Battalion",NA,NA,NA,NA,NA,NA,NA
CONUS,Arizona,Yuma Proving Ground,NA,NA,NA,NA,NA,NA,NA
CONUS,Arkansas,Little Rock AFB,6995,5582,1316,NA,NA,NA,NA
CONUS,Arkansas,Pine Bluff Arsenal,NA,NA,NA,NA,NA,NA,NA
CONUS,California,Beale AFB,3920,4032,756,NA,35000,NA,1200
CONUS,California,Camp Parks,NA,NA,NA,NA,NA,NA,NA
CONUS,California,Camp Pendleton,42000,38000,70000,NA,77000,NA,NA
CONUS,California,Defense Distribution Depot San Joaquin,NA,NA,NA,NA,NA,NA,NA
CONUS,California,Edwards AFB,2207,2104,4302,2265,NA,NA,4302
CONUS,California,Fort Hunter Liggett,NA,NA,NA,NA,NA,NA,NA
CONUS,California,Fort Irwin,4331,7701,7306,NA,NA,NA,NA
CONUS,California,Los Angeles AFB,1300,2067,1700,NA,NA,NA,NA
CONUS,California,MCLB Barstow,NA,NA,1482,488,NA,NA,NA
CONUS,California,MCRD San Diego,1200,NA,1200,NA,NA,NA,NA
CONUS,California,March ARB,NA,NA,1750,NA,NA,NA,NA
CONUS,California,Marine Corps Air Station Miramar,NA,NA,NA,NA,NA,NA,NA
CONUS,California,Marine Corps Mountain Warfare Training Center (MWTC),250,NA,100,NA,NA,NA,NA
CONUS,California,Naval Air Facility El Centro,NA,NA,NA,NA,NA,NA,NA
CONUS,California,Naval Air Station Lemoore,13978,7476,2403,NA,10006,24032,355
CONUS,California,Naval Air Weapons Station China Lake,NA,NA,NA,NA,NA,NA,NA
CONUS,California,Naval Base Coronado,NA,NA,NA,NA,NA,NA,NA
CONUS,California,Naval Base Point Loma,NA,NA,NA,NA,NA,NA,NA
CONUS,California,Naval Base San Diego,42500,NA,NA,NA,NA,NA,NA
CONUS,California,Naval Base Ventura County - Point Mugu/Port  Hueneme,NA,NA,NA,NA,NA,NA,NA
CONUS,California,Naval Support Activity Monterey,NA,NA,NA,NA,NA,NA,NA
